Household_ID,n_days,mae_rf,rmse_rf,mae_naive1,mae_signature,mase_rf,bias_rf,tail_ratio,hdd_slope,rf_beats_naive
100119,245,3.33282682757208,4.492251343273035,3.7044081632653056,5.897393128593214,0.6307801317013124,0.07581468710846691,1.3478802157103316,0.04059589681421954,True
100120,245,3.3240416444985277,5.020695510875406,3.125387755102041,4.184583970635958,1.0639659675187056,-0.6235129370646997,1.5104189561478372,-0.01754505111163258,False
1001228,149,4.382687859073102,5.640441114211664,5.128791946308724,4.281742348797605,0.9067404415747016,-0.4188901135597147,1.286982166100363,0.05010293678201729,True
1015877,245,3.2294631994479617,5.063864675848943,3.018979591836735,4.5444831182249255,1.3056991361993089,-0.2623589175296279,1.568020554225405,0.0659056867644012,False
104118,245,4.5871580397545,6.426810042986578,5.382693877551019,5.552461744172529,0.8950806617184736,0.11767642788820708,1.4010439551654372,0.06752740350732055,True
105714,245,3.481846514514635,5.195377513189277,3.6826122448979586,4.032142067568195,0.848476947810989,0.3235265425951818,1.4921328357041341,0.06314855782062659,True
106100,245,3.2699036828913597,4.350267902962614,3.4927755102040816,3.452904951199916,1.1438514970337874,-1.0058909892136834,1.3303963433919739,-0.040965637494315484,True
1061168,245,2.998527053422256,3.817577066704517,3.627877551020408,9.732236623568431,1.0696291510424214,-0.2966085416328505,1.2731507832645594,-0.10164957453402591,True
107461,245,4.423035945149014,6.481376319608533,4.929428571428572,6.419027364671111,1.0109263210193251,-0.6751865341238666,1.4653682221861692,-0.07542796490473333,True
1078861,108,3.963426096883143,6.15271792226224,4.709537037037037,5.250438009179639,0.6458266256349037,0.8236872446336737,1.552373570709636,0.9712480113720509,True
108511,68,3.9734893963214213,4.96449950921025,4.240882352941177,6.464518264274012,0.8827527346675477,-0.014828649018977055,1.2494055008190752,-0.11156454365044224,True
108987,245,5.704632666215563,7.901182712289777,6.435795918367346,6.416148562586411,0.9461592936856085,-0.2030736128982229,1.385046711084975,0.06447685721075717,True
109711,245,4.289862733640177,6.801409458177777,4.283265306122449,5.544083655610124,0.7001945796142212,-0.9619720316164525,1.585460859817866,-0.05093151950575986,False
111901,245,7.058294237564996,9.71535262615943,7.935102040816326,7.308569457258764,0.8526404991458948,0.2947655370420453,1.3764448320180935,0.22007735971094464,True
112120,245,2.659527031666702,3.725535044099412,2.4382857142857146,2.9135363713495086,0.985818177706326,-0.8647802782067686,1.4008261618475268,-0.021257335602402193,False
112691,245,6.07267315014561,9.478315314223998,5.6757551020408155,12.299430019243736,1.3001523817260672,-1.0764912820730586,1.5608143365984926,0.1459468391430095,False
112810,245,4.516898045954109,5.960456326702765,5.184734693877551,6.571647622352928,0.8715117565062231,-0.1700886580648715,1.31959062747535,-0.09695976292698279,True
1137376,245,6.736268690800628,9.837582550218865,6.833591836734694,11.27252555685727,1.011787611710481,0.7154229503830969,1.460390462698369,0.2397425098583893,True
1141047,245,3.78879800283468,4.720174551464401,2.7371020408163265,11.161829934128003,1.0562160899977204,-2.0855553173941503,1.245823754112225,0.10972606364035177,False
1159664,245,5.19612285614276,7.1472705265676,6.153673469387755,6.350572457874596,0.7975833606030204,0.16967443561364207,1.375500680881367,-0.11988154803223683,True
1171127,245,4.300583732973918,5.559282236082593,4.393387755102041,6.880451847149818,1.0961393853853156,-0.524339480416553,1.2926808501501414,0.05650651248147577,True
1191021,245,8.13440662977558,11.777638103931547,8.044448979591836,14.055856877788305,0.9858333820939859,1.48927222837606,1.4478791926654004,0.22990847202281844,False
