Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
778721;treatment;before visit;2020-05-21 23:59:59+00:00;25.66;8.62;17.04;;3.32;0.73;2.59;6.75;5.97;0.78
778721;treatment;before visit;2020-05-22 23:59:59+00:00;29.2;12.71;16.49;;3.61;0.63;2.98;9.55;9.17;0.38
778721;treatment;before visit;2020-05-23 23:59:59+00:00;27.82;10.57;17.25;;3.51;0.81;2.7;7.69;7.22;0.47
778721;treatment;before visit;2020-05-24 23:59:59+00:00;29.67;10.48;19.19;;3.85;0.62;3.23;7.91;7.65;0.26
778721;treatment;before visit;2020-05-25 23:59:59+00:00;26.97;11.52;15.45;;3.35;0.68;2.67;8.6;8.2;0.4
778721;treatment;before visit;2020-05-26 23:59:59+00:00;27.0;9.17;17.83;;3.37;0.66;2.71;6.87;6.35;0.52
778721;treatment;before visit;2020-05-27 23:59:59+00:00;24.26;9.39;14.87;;3.75;0.67;3.08;7.58;6.61;0.97
778721;treatment;before visit;2020-05-28 23:59:59+00:00;26.89;11.96;14.93;;3.67;0.63;3.04;8.89;8.53;0.36
778721;treatment;before visit;2020-05-29 23:59:59+00:00;24.83;7.85;16.98;;3.38;0.7;2.68;5.91;5.47;0.44
778721;treatment;before visit;2020-05-30 23:59:59+00:00;27.11;12.45;14.66;;3.35;0.65;2.7;10.17;9.03;1.14
778721;treatment;before visit;2020-05-31 23:59:59+00:00;25.76;12.1;13.66;;3.14;0.67;2.47;9.47;9.03;0.44
778721;treatment;before visit;2020-06-01 23:59:59+00:00;26.44;10.47;15.97;;3.05;0.68;2.37;8.83;7.5;1.33
778721;treatment;before visit;2020-06-02 23:59:59+00:00;24.66;9.19;15.47;;3.14;0.67;2.47;7.24;6.47;0.77
778721;treatment;before visit;2020-06-03 23:59:59+00:00;21.88;5.93;15.95;;2.88;0.79;2.09;4.34;3.75;0.59
778721;treatment;before visit;2020-06-04 23:59:59+00:00;29.92;10.62;19.3;;3.69;0.74;2.95;7.58;7.24;0.34
778721;treatment;before visit;2020-06-05 23:59:59+00:00;26.85;8.98;17.87;;3.76;0.72;3.04;6.48;6.17;0.31
778721;treatment;before visit;2020-06-06 23:59:59+00:00;23.85;7.65;16.2;;3.65;0.73;2.92;5.47;5.12;0.35
778721;treatment;before visit;2020-06-07 23:59:59+00:00;28.95;12.11;16.84;;3.71;0.59;3.12;8.91;8.69;0.22
778721;treatment;before visit;2020-06-08 23:59:59+00:00;29.03;11.04;17.99;;3.48;0.66;2.82;8.27;7.88;0.39
778721;treatment;before visit;2020-06-09 23:59:59+00:00;31.06;10.2;20.86;;4.38;0.72;3.66;7.37;7.11;0.26
778721;treatment;before visit;2020-06-10 23:59:59+00:00;28.56;7.7;20.86;;4.58;0.72;3.86;5.28;5.17;0.11
778721;treatment;before visit;2020-06-11 23:59:59+00:00;30.86;12.34;18.52;;4.5;0.72;3.78;8.95;8.79;0.16
778721;treatment;before visit;2020-06-12 23:59:59+00:00;27.74;7.89;19.85;;3.89;0.72;3.17;5.51;5.28;0.23
778721;treatment;before visit;2020-06-13 23:59:59+00:00;28.38;7.36;21.02;;4.3;0.75;3.55;5.01;4.83;0.18
778721;treatment;before visit;2020-06-14 23:59:59+00:00;26.95;7.39;19.56;;4.34;0.74;3.6;5.01;4.83;0.18
778721;treatment;before visit;2020-06-15 23:59:59+00:00;30.06;8.77;21.29;;4.15;0.76;3.39;6.25;5.95;0.3
778721;treatment;before visit;2020-06-16 23:59:59+00:00;28.0;8.11;19.89;;2.86;0.72;2.14;5.75;5.49;0.26
778721;treatment;before visit;2020-06-17 23:59:59+00:00;29.2;10.08;19.12;;3.34;0.74;2.6;7.0;6.81;0.19
778721;treatment;before visit;2020-06-18 23:59:59+00:00;27.93;10.46;17.47;;2.64;0.63;2.01;7.89;7.54;0.35
778721;treatment;before visit;2020-06-19 23:59:59+00:00;35.95;9.89;26.06;;2.81;0.73;2.08;7.42;6.85;0.57
778721;treatment;before visit;2020-06-20 23:59:59+00:00;30.74;9.93;20.81;;2.88;0.69;2.19;7.52;6.96;0.56
778721;treatment;before visit;2020-06-21 23:59:59+00:00;23.59;7.38;16.21;;2.91;0.75;2.16;5.4;4.88;0.52
778721;treatment;before visit;2020-06-22 23:59:59+00:00;23.66;7.33;16.33;;2.56;0.75;1.81;5.17;4.83;0.34
778721;treatment;before visit;2020-06-23 23:59:59+00:00;20.01;5.02;14.99;;2.53;0.75;1.78;3.57;3.04;0.53
778721;treatment;before visit;2020-06-24 23:59:59+00:00;25.24;8.86;16.38;;2.54;0.74;1.8;6.55;5.94;0.61
778721;treatment;before visit;2020-06-25 23:59:59+00:00;23.17;7.24;15.93;;2.53;0.62;1.91;5.44;4.78;0.66
778721;treatment;before visit;2020-06-26 23:59:59+00:00;22.19;6.88;15.31;;1.75;0.0;1.75;5.34;5.05;0.29
778721;treatment;before visit;2020-06-27 23:59:59+00:00;24.47;6.12;18.35;;1.65;0.01;1.64;5.65;4.5;1.15
778721;treatment;before visit;2020-06-28 23:59:59+00:00;24.75;6.13;18.62;;1.34;0.0;1.34;5.58;4.49;1.09
778721;treatment;before visit;2020-06-29 23:59:59+00:00;25.5;6.89;18.61;;2.27;0.0;2.27;5.48;4.89;0.59
778721;treatment;before visit;2020-06-30 23:59:59+00:00;24.57;5.46;19.11;;2.26;0.0;2.26;4.49;3.92;0.57
778721;treatment;before visit;2020-07-01 23:59:59+00:00;21.98;4.86;17.12;;2.52;0.0;2.52;4.12;3.42;0.7
778721;treatment;before visit;2020-07-02 23:59:59+00:00;23.35;5.07;18.28;;2.34;0.0;2.34;4.09;3.58;0.51
778721;treatment;before visit;2020-07-03 23:59:59+00:00;25.77;4.87;20.9;;2.51;0.0;2.51;3.86;3.4;0.46
778721;treatment;before visit;2020-07-04 23:59:59+00:00;25.12;6.38;18.74;;2.21;0.0;2.21;5.21;4.53;0.68
778721;treatment;before visit;2020-07-05 23:59:59+00:00;17.38;3.33;14.05;;2.53;0.0;2.53;2.67;2.34;0.33
