Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
109711;treatment;after visit;2021-11-09 23:59:59+00:00;19.57;;;3.76;2.94;;;11.36;;
109711;treatment;after visit;2021-11-10 23:59:59+00:00;23.4;;;0.18;3.05;;;13.36;;
109711;treatment;after visit;2021-11-11 23:59:59+00:00;17.66;;;3.51;2.62;;;9.79;;
109711;treatment;after visit;2021-11-12 23:59:59+00:00;27.09;;;0.09;2.94;;;15.38;;
109711;treatment;after visit;2021-11-13 23:59:59+00:00;34.6;;;0.1;5.21;;;12.22;;
109711;treatment;after visit;2021-11-14 23:59:59+00:00;26.75;;;0.22;4.59;;;10.46;;
109711;treatment;after visit;2021-11-15 23:59:59+00:00;25.45;;;0.11;4.53;;;11.74;;
109711;treatment;after visit;2021-11-16 23:59:59+00:00;35.49;;;0.02;6.33;;;12.18;;
109711;treatment;after visit;2021-11-17 23:59:59+00:00;25.78;;;0.06;4.21;;;12.82;;
109711;treatment;after visit;2021-11-18 23:59:59+00:00;21.24;;;1.27;2.94;;;12.49;;
109711;treatment;after visit;2021-11-19 23:59:59+00:00;36.38;;;0.19;4.09;;;15.55;;
109711;treatment;after visit;2021-11-20 23:59:59+00:00;36.75;;;0.06;4.95;;;15.92;;
109711;treatment;after visit;2021-11-21 23:59:59+00:00;26.04;;;2.69;3.96;;;13.4;;
109711;treatment;after visit;2021-11-22 23:59:59+00:00;35.54;;;0.04;6.03;;;12.98;;
109711;treatment;after visit;2021-11-23 23:59:59+00:00;31.62;;;;6.05;;;14.42;;
109711;treatment;after visit;2021-11-24 23:59:59+00:00;26.67;;;0.14;3.13;;;15.68;;
109711;treatment;after visit;2021-11-25 23:59:59+00:00;31.27;;;0.09;3.5;;;15.11;;
