Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
788488;treatment;before visit;2020-10-22 23:59:59+00:00;17.69;;;;2.16;;;1.03;;
788488;treatment;before visit;2020-10-23 23:59:59+00:00;22.75;;;;1.91;;;0.88;;
788488;treatment;before visit;2020-10-24 23:59:59+00:00;26.78;;;;1.88;;;1.42;;
788488;treatment;before visit;2020-10-25 23:59:59+00:00;28.73;;;;2.02;;;1.56;;
788488;treatment;before visit;2020-10-26 23:59:59+00:00;27.99;;;;1.53;;;1.29;;
788488;treatment;before visit;2020-10-27 23:59:59+00:00;29.73;;;;1.53;;;1.57;;
788488;treatment;before visit;2020-10-28 23:59:59+00:00;25.58;;;;1.79;;;1.48;;
788488;treatment;before visit;2020-10-29 23:59:59+00:00;24.31;;;;1.96;;;1.24;;
788488;treatment;before visit;2020-10-30 23:59:59+00:00;20.67;;;;1.95;;;1.26;;
788488;treatment;before visit;2020-10-31 23:59:59+00:00;26.71;;;;1.95;;;1.27;;
788488;treatment;before visit;2020-11-01 23:59:59+00:00;21.67;;;;2.59;;;1.17;;
788488;treatment;before visit;2020-11-02 23:59:59+00:00;22.7;;;;2.45;;;0.79;;
788488;treatment;before visit;2020-11-03 23:59:59+00:00;22.0;;;;2.18;;;0.8;;
788488;treatment;before visit;2020-11-04 23:59:59+00:00;25.42;;;;1.5;;;1.29;;
788488;treatment;before visit;2020-11-05 23:59:59+00:00;28.06;;;;1.45;;;1.5;;
788488;treatment;before visit;2020-11-06 23:59:59+00:00;31.08;;;;1.53;;;1.75;;
788488;treatment;before visit;2020-11-07 23:59:59+00:00;27.31;;;;1.62;;;1.59;;
788488;treatment;before visit;2020-11-08 23:59:59+00:00;28.08;;;;1.89;;;1.38;;
788488;treatment;before visit;2020-11-09 23:59:59+00:00;26.03;;;;2.15;;;1.32;;
788488;treatment;before visit;2020-11-10 23:59:59+00:00;23.44;;;;2.39;;;0.92;;
788488;treatment;before visit;2020-11-11 23:59:59+00:00;24.1;;;;2.23;;;0.94;;
788488;treatment;before visit;2020-11-12 23:59:59+00:00;24.86;;;;1.84;;;1.28;;
