Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
310610;treatment;before visit;2020-11-25 23:59:59+00:00;34.95;;;;0.47;;;22.48;;
310610;treatment;before visit;2020-11-26 23:59:59+00:00;40.68;;;;0.46;;;26.45;;
310610;treatment;before visit;2020-11-27 23:59:59+00:00;43.95;;;;0.46;;;27.39;;
310610;treatment;before visit;2020-11-28 23:59:59+00:00;50.93;;;;0.28;;;30.61;;
310610;treatment;before visit;2020-11-29 23:59:59+00:00;55.44;;;;0.05;;;35.85;;
310610;treatment;before visit;2020-11-30 23:59:59+00:00;44.96;;;;0.43;;;29.33;;
310610;treatment;before visit;2020-12-01 23:59:59+00:00;44.47;;;;0.32;;;27.92;;
310610;treatment;before visit;2020-12-02 23:59:59+00:00;44.66;;;;0.58;;;28.02;;
310610;treatment;before visit;2020-12-03 23:59:59+00:00;48.37;;;;0.46;;;30.6;;
310610;treatment;before visit;2020-12-04 23:59:59+00:00;43.07;;;;0.53;;;27.47;;
310610;treatment;before visit;2020-12-05 23:59:59+00:00;48.13;;;;0.17;;;31.26;;
310610;treatment;before visit;2020-12-06 23:59:59+00:00;44.92;;;;0.29;;;28.84;;
310610;treatment;before visit;2020-12-07 23:59:59+00:00;42.07;;;;0.41;;;26.43;;
310610;treatment;before visit;2020-12-08 23:59:59+00:00;44.41;;;;0.39;;;28.07;;
310610;treatment;before visit;2020-12-09 23:59:59+00:00;41.87;;;;0.54;;;27.62;;
310610;treatment;before visit;2020-12-10 23:59:59+00:00;44.16;;;;0.47;;;28.74;;
310610;treatment;before visit;2020-12-11 23:59:59+00:00;46.16;;;;0.48;;;28.96;;
310610;treatment;before visit;2020-12-12 23:59:59+00:00;37.1;;;;0.64;;;22.71;;
310610;treatment;before visit;2020-12-13 23:59:59+00:00;43.32;;;;0.35;;;24.11;;
310610;treatment;before visit;2020-12-14 23:59:59+00:00;41.92;;;;0.48;;;26.67;;
310610;treatment;before visit;2020-12-15 23:59:59+00:00;34.92;;;;0.49;;;21.35;;
310610;treatment;before visit;2020-12-16 23:59:59+00:00;36.17;;;;0.51;;;22.47;;
310610;treatment;before visit;2020-12-17 23:59:59+00:00;33.55;;;;0.52;;;20.15;;
310610;treatment;before visit;2020-12-18 23:59:59+00:00;42.49;;;;0.36;;;24.44;;
310610;treatment;before visit;2020-12-19 23:59:59+00:00;48.65;;;;0.06;;;32.27;;
310610;treatment;before visit;2020-12-20 23:59:59+00:00;44.65;;;;0.09;;;28.18;;
310610;treatment;before visit;2020-12-21 23:59:59+00:00;35.7;;;;0.45;;;21.16;;
310610;treatment;before visit;2020-12-22 23:59:59+00:00;22.05;;;;0.77;;;10.33;;
310610;treatment;before visit;2020-12-23 23:59:59+00:00;26.04;;;;0.33;;;12.37;;
310610;treatment;before visit;2020-12-24 23:59:59+00:00;36.75;;;;0.38;;;20.04;;
310610;treatment;before visit;2020-12-25 23:59:59+00:00;44.16;;;;0.55;;;27.22;;
310610;treatment;before visit;2020-12-26 23:59:59+00:00;54.69;;;;0.23;;;34.68;;
310610;treatment;before visit;2020-12-27 23:59:59+00:00;53.75;;;;0.09;;;34.71;;
310610;treatment;before visit;2020-12-28 23:59:59+00:00;40.09;;;;0.49;;;26.14;;
310610;treatment;before visit;2020-12-29 23:59:59+00:00;39.23;;;;0.31;;;23.49;;
310610;treatment;before visit;2020-12-30 23:59:59+00:00;42.2;;;;0.37;;;27.18;;
310610;treatment;before visit;2020-12-31 23:59:59+00:00;43.64;;;;0.47;;;27.96;;
310610;treatment;before visit;2021-01-01 23:59:59+00:00;41.11;;;;0.47;;;26.03;;
310610;treatment;before visit;2021-01-02 23:59:59+00:00;50.08;;;;0.26;;;31.04;;
310610;treatment;before visit;2021-01-03 23:59:59+00:00;56.25;;;;0.06;;;36.8;;
310610;treatment;before visit;2021-01-04 23:59:59+00:00;48.24;;;;0.37;;;31.73;;
310610;treatment;before visit;2021-01-05 23:59:59+00:00;48.71;;;;0.49;;;30.58;;
310610;treatment;before visit;2021-01-06 23:59:59+00:00;46.2;;;;0.45;;;29.13;;
310610;treatment;before visit;2021-01-07 23:59:59+00:00;39.06;;;;0.44;;;27.47;;
