Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
816910;treatment;before visit;2020-11-07 23:59:59+00:00;72.14;59.01;13.13;;1.06;0.54;0.52;28.33;27.46;0.87
816910;treatment;before visit;2020-11-08 23:59:59+00:00;68.02;56.84;11.18;;1.43;0.54;0.89;28.52;28.39;0.13
816910;treatment;before visit;2020-11-09 23:59:59+00:00;68.79;55.18;13.61;;1.15;0.56;0.59;27.18;25.69;1.49
816910;treatment;before visit;2020-11-10 23:59:59+00:00;65.87;52.49;13.38;;0.57;0.53;0.04;29.87;27.45;2.42
816910;treatment;before visit;2020-11-11 23:59:59+00:00;80.97;65.31;15.66;;1.16;0.53;0.63;31.0;28.79;2.21
816910;treatment;before visit;2020-11-12 23:59:59+00:00;64.88;55.23;9.65;;1.32;0.52;0.8;29.97;29.53;0.44
816910;treatment;before visit;2020-11-13 23:59:59+00:00;66.88;57.37;9.51;;1.36;0.54;0.82;29.01;28.23;0.78
816910;treatment;before visit;2020-11-14 23:59:59+00:00;71.94;60.47;11.47;;1.3;0.52;0.78;29.59;28.47;1.12
816910;treatment;before visit;2020-11-15 23:59:59+00:00;66.47;57.43;9.04;;1.44;0.55;0.89;27.34;26.97;0.37
816910;treatment;before visit;2020-11-16 23:59:59+00:00;66.2;50.98;15.22;;1.39;0.57;0.82;26.44;25.69;0.75
816910;treatment;before visit;2020-11-17 23:59:59+00:00;70.4;60.65;9.75;;1.29;0.56;0.73;28.14;27.01;1.13
816910;treatment;before visit;2020-11-18 23:59:59+00:00;70.54;55.77;14.77;;0.98;0.53;0.45;29.38;28.55;0.83
816910;treatment;before visit;2020-11-19 23:59:59+00:00;80.76;59.63;21.13;;0.84;0.51;0.33;32.47;29.84;2.63
816910;treatment;before visit;2020-11-20 23:59:59+00:00;87.53;64.94;22.59;;0.5;0.45;0.05;36.62;33.93;2.69
816910;treatment;before visit;2020-11-21 23:59:59+00:00;81.6;72.73;8.87;;1.09;0.41;0.68;39.01;38.62;0.39
816910;treatment;before visit;2020-11-22 23:59:59+00:00;92.92;79.66;13.26;;1.27;0.38;0.89;42.27;40.1;2.17
816910;treatment;before visit;2020-11-23 23:59:59+00:00;85.88;70.36;15.52;;0.75;0.38;0.37;43.96;40.49;3.47
816910;treatment;before visit;2020-11-24 23:59:59+00:00;93.53;71.37;22.16;;0.66;0.37;0.29;46.68;42.06;4.62
816910;treatment;before visit;2020-11-25 23:59:59+00:00;88.92;73.79;15.13;;0.81;0.38;0.43;41.59;40.66;0.93
816910;treatment;before visit;2020-11-26 23:59:59+00:00;84.06;71.01;13.05;;1.4;0.37;1.03;42.16;41.48;0.68
816910;treatment;before visit;2020-11-27 23:59:59+00:00;86.56;76.14;10.42;;1.16;0.36;0.8;42.86;42.58;0.28
816910;treatment;before visit;2020-11-28 23:59:59+00:00;92.44;80.88;11.56;;1.01;0.29;0.72;48.56;48.29;0.27
816910;treatment;before visit;2020-11-29 23:59:59+00:00;96.53;77.56;18.97;;0.72;0.27;0.45;51.2;48.77;2.43
816910;treatment;before visit;2020-11-30 23:59:59+00:00;99.19;84.79;14.4;;0.95;0.28;0.67;49.97;49.41;0.56
816910;treatment;before visit;2020-12-01 23:59:59+00:00;96.51;81.33;15.18;;1.26;0.28;0.98;50.36;48.25;2.11
816910;treatment;before visit;2020-12-02 23:59:59+00:00;95.7;80.75;14.95;;0.93;0.28;0.65;49.56;47.43;2.13
816910;treatment;before visit;2020-12-03 23:59:59+00:00;90.11;75.84;14.27;;0.82;0.27;0.55;50.05;48.67;1.38
816910;treatment;before visit;2020-12-04 23:59:59+00:00;93.84;79.91;13.93;;1.05;0.32;0.73;47.09;45.29;1.8
816910;treatment;before visit;2020-12-05 23:59:59+00:00;100.56;84.98;15.58;;1.06;0.29;0.77;49.27;48.54;0.73
816910;treatment;before visit;2020-12-06 23:59:59+00:00;115.87;93.34;22.53;;0.42;0.29;0.13;50.22;47.85;2.37
816910;treatment;before visit;2020-12-07 23:59:59+00:00;99.64;80.97;18.67;;0.75;0.28;0.47;49.5;48.12;1.38
816910;treatment;before visit;2020-12-08 23:59:59+00:00;104.53;90.84;13.69;;1.02;0.24;0.78;53.54;52.43;1.11
816910;treatment;before visit;2020-12-09 23:59:59+00:00;89.79;76.75;13.04;;0.8;0.27;0.53;49.86;49.13;0.73
816910;treatment;before visit;2020-12-10 23:59:59+00:00;94.37;86.1;8.27;;1.15;0.21;0.94;54.08;53.88;0.2
816910;treatment;before visit;2020-12-11 23:59:59+00:00;101.29;94.06;7.23;;1.22;0.18;1.04;57.07;56.99;0.08
816910;treatment;before visit;2020-12-12 23:59:59+00:00;82.6;74.35;8.25;;1.31;0.31;1.0;46.99;46.86;0.13
816910;treatment;before visit;2020-12-13 23:59:59+00:00;80.54;71.79;8.75;;1.42;0.32;1.1;45.99;45.9;0.09
816910;treatment;before visit;2020-12-14 23:59:59+00:00;84.5;74.51;9.99;;1.27;0.31;0.96;46.99;46.69;0.3
816910;treatment;before visit;2020-12-15 23:59:59+00:00;90.98;76.4;14.58;;1.0;0.35;0.65;43.77;43.11;0.66
816910;treatment;before visit;2020-12-16 23:59:59+00:00;86.53;73.59;12.94;;0.85;0.32;0.53;46.94;46.23;0.71
816910;treatment;before visit;2020-12-17 23:59:59+00:00;79.16;71.66;7.5;;1.24;0.32;0.92;45.81;45.68;0.13
816910;treatment;before visit;2020-12-18 23:59:59+00:00;75.37;67.86;7.51;;1.32;0.33;0.99;45.23;45.15;0.08
816910;treatment;before visit;2020-12-19 23:59:59+00:00;82.97;77.1;5.87;;1.47;0.3;1.17;47.0;46.96;0.04
816910;treatment;before visit;2020-12-20 23:59:59+00:00;77.85;69.01;8.84;;1.53;0.35;1.18;43.94;43.86;0.08
816910;treatment;before visit;2020-12-21 23:59:59+00:00;84.53;76.85;7.68;;1.4;0.34;1.06;44.18;44.07;0.11
816910;treatment;before visit;2020-12-22 23:59:59+00:00;72.26;64.41;7.85;;1.39;0.42;0.97;38.26;38.17;0.09
816910;treatment;before visit;2020-12-23 23:59:59+00:00;84.3;77.12;7.18;;1.35;0.41;0.94;40.43;40.31;0.12
816910;treatment;before visit;2020-12-24 23:59:59+00:00;83.79;73.29;10.5;;1.2;0.38;0.82;41.21;40.83;0.38
816910;treatment;before visit;2020-12-25 23:59:59+00:00;82.53;76.9;5.63;;1.06;0.27;0.79;49.22;49.04;0.18
816910;treatment;before visit;2020-12-26 23:59:59+00:00;86.45;78.29;8.16;;1.17;0.23;0.94;52.18;52.08;0.1
816910;treatment;before visit;2020-12-27 23:59:59+00:00;123.65;110.38;13.27;;0.99;0.18;0.81;56.97;56.5;0.47
816910;treatment;before visit;2020-12-28 23:59:59+00:00;97.64;85.55;12.09;;0.76;0.22;0.54;53.94;53.34;0.6
816910;treatment;before visit;2020-12-29 23:59:59+00:00;99.67;92.95;6.72;;1.36;0.2;1.16;55.29;55.24;0.05
816910;treatment;before visit;2020-12-30 23:59:59+00:00;99.09;88.04;11.05;;1.14;0.19;0.95;56.35;56.17;0.18
816910;treatment;before visit;2020-12-31 23:59:59+00:00;98.7;91.07;7.63;;1.04;0.14;0.9;60.14;60.06;0.08
816910;treatment;before visit;2021-01-01 23:59:59+00:00;104.04;94.78;9.26;;1.09;0.16;0.93;61.02;60.88;0.14
816910;treatment;before visit;2021-01-02 23:59:59+00:00;100.43;91.07;9.36;;1.09;0.15;0.94;59.88;59.69;0.19
816910;treatment;before visit;2021-01-03 23:59:59+00:00;100.89;90.12;10.77;;1.16;0.12;1.04;62.93;62.73;0.2
816910;treatment;before visit;2021-01-04 23:59:59+00:00;100.89;96.22;4.67;;1.09;0.08;1.01;65.93;65.89;0.04
816910;treatment;before visit;2021-01-05 23:59:59+00:00;107.69;103.63;4.06;;1.08;0.06;1.02;68.19;68.13;0.06
816910;treatment;before visit;2021-01-06 23:59:59+00:00;100.5;92.51;7.99;;0.98;0.09;0.89;64.55;64.37;0.18
816910;treatment;before visit;2021-01-07 23:59:59+00:00;102.24;96.48;5.76;;1.07;0.09;0.98;64.96;64.89;0.07
816910;treatment;before visit;2021-01-08 23:59:59+00:00;111.32;104.62;6.7;;1.05;0.06;0.99;67.65;67.59;0.06
816910;treatment;before visit;2021-01-09 23:59:59+00:00;139.2;133.32;5.88;;1.09;0.06;1.03;66.04;65.99;0.05
816910;treatment;before visit;2021-01-10 23:59:59+00:00;128.9;122.94;5.96;;1.1;0.06;1.04;66.84;66.73;0.11
816910;treatment;before visit;2021-01-11 23:59:59+00:00;118.36;113.92;4.44;;0.98;0.03;0.95;70.1;70.01;0.09
816910;treatment;before visit;2021-01-12 23:59:59+00:00;108.19;100.85;7.34;;0.99;0.11;0.88;64.57;64.35;0.22
816910;treatment;before visit;2021-01-13 23:59:59+00:00;95.68;87.14;8.54;;0.93;0.17;0.76;58.04;57.7;0.34
816910;treatment;before visit;2021-01-14 23:59:59+00:00;132.17;120.3;11.87;;0.59;0.09;0.5;65.24;64.48;0.76
816910;treatment;before visit;2021-01-15 23:59:59+00:00;195.04;178.96;16.08;;0.48;0.0;0.48;75.27;73.71;1.56
816910;treatment;before visit;2021-01-16 23:59:59+00:00;134.42;121.61;12.81;;0.96;0.18;0.78;56.69;56.19;0.5
816910;treatment;before visit;2021-01-17 23:59:59+00:00;80.57;68.31;12.26;;1.05;0.4;0.65;38.83;37.95;0.88
816910;treatment;before visit;2021-01-18 23:59:59+00:00;90.15;74.52;15.63;;0.94;0.34;0.6;44.64;43.29;1.35
816910;treatment;before visit;2021-01-19 23:59:59+00:00;108.79;96.65;12.14;;0.7;0.28;0.42;48.56;47.88;0.68
816910;treatment;before visit;2021-01-20 23:59:59+00:00;111.03;100.24;10.79;;0.92;0.12;0.8;62.58;62.11;0.47
816910;treatment;before visit;2021-01-21 23:59:59+00:00;102.39;88.95;13.44;;0.9;0.23;0.67;56.23;55.61;0.62
