Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
706817;treatment;before visit;2020-12-15 23:59:59+00:00;39.34;;;;2.93;;;20.22;;
706817;treatment;before visit;2020-12-16 23:59:59+00:00;41.0;;;;3.02;;;19.3;;
706817;treatment;before visit;2020-12-17 23:59:59+00:00;37.63;;;;3.25;;;17.88;;
706817;treatment;before visit;2020-12-18 23:59:59+00:00;43.46;;;;3.01;;;21.32;;
706817;treatment;before visit;2020-12-19 23:59:59+00:00;54.29;;;;2.87;;;25.57;;
706817;treatment;before visit;2020-12-20 23:59:59+00:00;56.22;;;;2.86;;;20.38;;
706817;treatment;before visit;2020-12-21 23:59:59+00:00;48.85;;;;3.26;;;18.63;;
706817;treatment;before visit;2020-12-22 23:59:59+00:00;37.56;;;;4.04;;;8.68;;
706817;treatment;before visit;2020-12-23 23:59:59+00:00;39.21;;;;4.6;;;9.47;;
706817;treatment;before visit;2020-12-24 23:59:59+00:00;45.7;;;;2.14;;;20.59;;
706817;treatment;before visit;2020-12-25 23:59:59+00:00;52.65;;;;1.86;;;24.42;;
706817;treatment;before visit;2020-12-26 23:59:59+00:00;57.05;;;;1.76;;;29.07;;
706817;treatment;before visit;2020-12-27 23:59:59+00:00;65.99;;;;2.2;;;27.2;;
706817;treatment;before visit;2020-12-28 23:59:59+00:00;58.68;;;;1.96;;;24.97;;
706817;treatment;before visit;2020-12-29 23:59:59+00:00;51.15;;;;2.86;;;20.59;;
706817;treatment;before visit;2020-12-30 23:59:59+00:00;58.42;;;;2.53;;;25.0;;
706817;treatment;before visit;2020-12-31 23:59:59+00:00;56.62;;;;2.42;;;24.48;;
706817;treatment;before visit;2021-01-01 23:59:59+00:00;54.97;;;;3.27;;;23.4;;
706817;treatment;before visit;2021-01-02 23:59:59+00:00;59.19;;;;3.44;;;24.07;;
706817;treatment;before visit;2021-01-03 23:59:59+00:00;64.18;;;;2.63;;;27.81;;
706817;treatment;before visit;2021-01-04 23:59:59+00:00;62.23;;;;2.24;;;28.7;;
706817;treatment;before visit;2021-01-05 23:59:59+00:00;61.16;;;;2.14;;;28.55;;
706817;treatment;before visit;2021-01-06 23:59:59+00:00;58.08;;;;2.53;;;26.89;;
706817;treatment;before visit;2021-01-07 23:59:59+00:00;55.19;;;;2.68;;;24.07;;
706817;treatment;before visit;2021-01-08 23:59:59+00:00;59.88;;;;2.2;;;27.21;;
706817;treatment;before visit;2021-01-11 23:59:59+00:00;58.22;;;;2.2;;;27.59;;
706817;treatment;before visit;2021-01-12 23:59:59+00:00;56.75;;;;2.11;;;28.24;;
706817;treatment;before visit;2021-01-13 23:59:59+00:00;50.87;;;;3.39;;;22.56;;
706817;treatment;before visit;2021-01-14 23:59:59+00:00;61.14;;;;1.75;;;29.62;;
706817;treatment;before visit;2021-01-15 23:59:59+00:00;59.88;;;;1.97;;;28.95;;
706817;treatment;before visit;2021-01-16 23:59:59+00:00;71.47;;;;0.92;;;35.86;;
706817;treatment;before visit;2021-01-17 23:59:59+00:00;62.15;;;;2.68;;;25.43;;
706817;treatment;before visit;2021-01-18 23:59:59+00:00;57.89;;;;2.14;;;27.63;;
706817;treatment;before visit;2021-01-19 23:59:59+00:00;50.83;;;;3.17;;;22.93;;
706817;treatment;before visit;2021-01-20 23:59:59+00:00;52.44;;;;3.07;;;21.92;;
706817;treatment;before visit;2021-01-21 23:59:59+00:00;44.66;;;;4.01;;;15.27;;
706817;treatment;before visit;2021-01-22 23:59:59+00:00;47.1;;;;3.91;;;16.65;;
706817;treatment;before visit;2021-01-23 23:59:59+00:00;54.65;;;;3.09;;;22.5;;
706817;treatment;before visit;2021-01-24 23:59:59+00:00;54.28;;;;2.52;;;23.59;;
706817;treatment;before visit;2021-01-25 23:59:59+00:00;52.36;;;;1.59;;;24.44;;
706817;treatment;before visit;2021-01-26 23:59:59+00:00;56.09;;;;2.12;;;27.04;;
706817;treatment;before visit;2021-01-27 23:59:59+00:00;56.44;;;;1.98;;;28.71;;
706817;treatment;before visit;2021-01-28 23:59:59+00:00;45.47;;;;3.56;;;16.19;;
706817;treatment;before visit;2021-01-29 23:59:59+00:00;43.73;;;;3.89;;;15.29;;
706817;treatment;before visit;2021-01-30 23:59:59+00:00;48.36;;;;3.25;;;19.5;;
706817;treatment;before visit;2021-01-31 23:59:59+00:00;56.23;;;;3.95;;;17.79;;
706817;treatment;before visit;2021-02-01 23:59:59+00:00;44.53;;;;4.37;;;15.27;;
706817;treatment;before visit;2021-02-02 23:59:59+00:00;37.47;;;;4.2;;;11.17;;
706817;treatment;before visit;2021-02-03 23:59:59+00:00;36.23;;;;4.77;;;10.24;;
706817;treatment;before visit;2021-02-04 23:59:59+00:00;49.81;;;;3.79;;;15.51;;
706817;treatment;before visit;2021-02-05 23:59:59+00:00;46.27;;;;4.38;;;12.45;;
706817;treatment;before visit;2021-02-06 23:59:59+00:00;35.56;;;;2.53;;;16.55;;
706817;treatment;before visit;2021-02-07 23:59:59+00:00;31.06;;;;2.32;;;20.3;;
706817;treatment;before visit;2021-02-08 23:59:59+00:00;36.97;;;;1.82;;;25.32;;
706817;treatment;before visit;2021-02-09 23:59:59+00:00;40.48;;;;1.53;;;28.42;;
706817;treatment;before visit;2021-02-10 23:59:59+00:00;47.71;;;;1.0;;;34.14;;
706817;treatment;before visit;2021-02-11 23:59:59+00:00;54.03;;;;0.56;;;38.94;;
706817;treatment;before visit;2021-02-12 23:59:59+00:00;52.83;;;;0.67;;;37.33;;
706817;treatment;before visit;2021-02-13 23:59:59+00:00;58.36;;;;1.66;;;29.39;;
706817;treatment;before visit;2021-02-14 23:59:59+00:00;65.66;;;;2.24;;;27.76;;
706817;treatment;before visit;2021-02-15 23:59:59+00:00;54.15;;;;2.73;;;25.76;;
706817;treatment;before visit;2021-02-16 23:59:59+00:00;39.76;;;;4.33;;;13.01;;
706817;treatment;before visit;2021-02-17 23:59:59+00:00;39.24;;;;3.9;;;13.95;;
706817;treatment;before visit;2021-02-18 23:59:59+00:00;43.94;;;;4.29;;;16.65;;
706817;treatment;before visit;2021-02-19 23:59:59+00:00;44.1;;;;4.75;;;12.9;;
706817;treatment;before visit;2021-02-20 23:59:59+00:00;43.59;;;;5.06;;;14.29;;
706817;treatment;before visit;2021-02-21 23:59:59+00:00;54.0;;;;4.38;;;17.18;;
706817;treatment;before visit;2021-02-22 23:59:59+00:00;37.21;;;;4.24;;;12.67;;
706817;treatment;before visit;2021-02-23 23:59:59+00:00;33.3;;;;4.32;;;10.63;;
706817;treatment;before visit;2021-02-24 23:59:59+00:00;35.18;;;;5.0;;;9.06;;
706817;treatment;before visit;2021-02-25 23:59:59+00:00;34.54;;;;5.56;;;8.74;;
706817;treatment;before visit;2021-02-26 23:59:59+00:00;37.95;;;;5.83;;;8.6;;
706817;treatment;before visit;2021-02-27 23:59:59+00:00;42.09;;;;5.38;;;11.48;;
706817;treatment;before visit;2021-02-28 23:59:59+00:00;40.04;;;;4.86;;;12.24;;
706817;treatment;before visit;2021-03-01 23:59:59+00:00;35.09;;;;4.44;;;9.42;;
706817;treatment;before visit;2021-03-02 23:59:59+00:00;34.99;;;;4.62;;;10.28;;
706817;treatment;before visit;2021-03-03 23:59:59+00:00;34.89;;;;5.18;;;9.27;;
706817;treatment;before visit;2021-03-04 23:59:59+00:00;34.36;;;;5.62;;;7.3;;
706817;treatment;before visit;2021-03-05 23:59:59+00:00;38.49;;;;4.39;;;13.87;;
706817;treatment;before visit;2021-03-06 23:59:59+00:00;53.53;;;;4.7;;;17.09;;
706817;treatment;before visit;2021-03-07 23:59:59+00:00;48.65;;;;4.29;;;16.48;;
706817;treatment;before visit;2021-03-08 23:59:59+00:00;38.71;;;;4.35;;;14.83;;
706817;treatment;before visit;2021-03-09 23:59:59+00:00;38.2;;;;4.09;;;12.33;;
706817;treatment;before visit;2021-03-10 23:59:59+00:00;39.75;;;;4.43;;;12.53;;
706817;treatment;before visit;2021-03-11 23:59:59+00:00;31.52;;;;5.16;;;5.34;;
706817;treatment;before visit;2021-03-12 23:59:59+00:00;34.88;;;;5.56;;;10.04;;
706817;treatment;before visit;2021-03-13 23:59:59+00:00;43.86;;;;4.88;;;13.11;;
706817;treatment;before visit;2021-03-14 23:59:59+00:00;53.25;;;;2.95;;;21.7;;
706817;treatment;before visit;2021-03-15 23:59:59+00:00;44.98;;;;3.23;;;19.69;;
706817;treatment;before visit;2021-03-16 23:59:59+00:00;43.28;;;;3.28;;;18.67;;
706817;treatment;before visit;2021-03-17 23:59:59+00:00;44.45;;;;3.3;;;18.49;;
706817;treatment;before visit;2021-03-18 23:59:59+00:00;47.55;;;;3.2;;;19.87;;
706817;treatment;before visit;2021-03-19 23:59:59+00:00;44.28;;;;3.29;;;18.54;;
706817;treatment;before visit;2021-03-20 23:59:59+00:00;50.34;;;;3.81;;;19.11;;
706817;treatment;before visit;2021-03-21 23:59:59+00:00;49.64;;;;4.91;;;17.74;;
706817;treatment;before visit;2021-03-22 23:59:59+00:00;44.4;;;;3.97;;;15.81;;
706817;treatment;before visit;2021-03-23 23:59:59+00:00;38.46;;;;4.06;;;13.82;;
706817;treatment;before visit;2021-03-24 23:59:59+00:00;37.49;;;;4.81;;;12.22;;
706817;treatment;before visit;2021-03-25 23:59:59+00:00;34.17;;;;5.63;;;7.88;;
706817;treatment;before visit;2021-03-26 23:59:59+00:00;31.94;;;;6.21;;;7.89;;
706817;treatment;before visit;2021-03-27 23:59:59+00:00;36.8;;;;5.79;;;8.46;;
706817;treatment;before visit;2021-03-28 23:59:59+00:00;30.9;;;;4.93;;;7.82;;
706817;treatment;before visit;2021-03-29 23:59:59+00:00;36.51;;;;4.68;;;7.01;;
706817;treatment;before visit;2021-03-30 23:59:59+00:00;28.28;;;;5.06;;;4.29;;
706817;treatment;before visit;2021-03-31 23:59:59+00:00;25.37;;;;5.09;;;2.74;;
706817;treatment;before visit;2021-04-01 23:59:59+00:00;13.18;;;;5.09;;;1.99;;
706817;treatment;before visit;2021-04-02 23:59:59+00:00;11.07;;;;5.44;;;;;
706817;treatment;before visit;2021-04-03 23:59:59+00:00;20.13;;;;4.41;;;8.51;;
706817;treatment;before visit;2021-04-04 23:59:59+00:00;19.02;;;;4.55;;;7.35;;
706817;treatment;before visit;2021-04-05 23:59:59+00:00;39.22;;;;4.35;;;10.47;;
706817;treatment;before visit;2021-04-06 23:59:59+00:00;43.53;;;;3.34;;;18.67;;
706817;treatment;before visit;2021-04-07 23:59:59+00:00;45.34;;;;4.04;;;17.12;;
706817;treatment;before visit;2021-04-08 23:59:59+00:00;34.9;;;;4.57;;;10.3;;
706817;treatment;before visit;2021-04-09 23:59:59+00:00;38.32;;;;5.13;;;10.61;;
706817;treatment;before visit;2021-04-10 23:59:59+00:00;25.54;;;;5.03;;;4.23;;
706817;treatment;before visit;2021-04-11 23:59:59+00:00;29.56;;;;6.59;;;2.16;;
706817;treatment;before visit;2021-04-12 23:59:59+00:00;40.85;;;;3.51;;;16.37;;
706817;treatment;before visit;2021-04-13 23:59:59+00:00;41.63;;;;4.06;;;14.31;;
706817;treatment;before visit;2021-04-14 23:59:59+00:00;37.74;;;;4.88;;;11.2;;
706817;treatment;before visit;2021-04-15 23:59:59+00:00;36.3;;;;4.13;;;12.53;;
706817;treatment;before visit;2021-04-16 23:59:59+00:00;36.37;;;;4.72;;;11.24;;
706817;treatment;before visit;2021-04-17 23:59:59+00:00;44.72;;;;4.16;;;9.75;;
706817;treatment;before visit;2021-04-18 23:59:59+00:00;41.29;;;;5.31;;;10.34;;
