Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
122850;treatment;before visit;2020-06-11 23:59:59+00:00;9.09;;;;0.51;;;1.66;;
122850;treatment;before visit;2020-06-12 23:59:59+00:00;9.61;;;;0.69;;;1.39;;
122850;treatment;before visit;2020-06-13 23:59:59+00:00;10.66;;;;0.53;;;1.58;;
122850;treatment;before visit;2020-06-14 23:59:59+00:00;12.79;;;;0.55;;;1.33;;
122850;treatment;before visit;2020-06-15 23:59:59+00:00;8.97;;;;0.69;;;1.27;;
122850;treatment;before visit;2020-06-16 23:59:59+00:00;7.77;;;;0.61;;;1.27;;
122850;treatment;before visit;2020-06-17 23:59:59+00:00;7.76;;;;0.49;;;2.12;;
122850;treatment;before visit;2020-06-18 23:59:59+00:00;8.16;;;;0.6;;;1.26;;
122850;treatment;before visit;2020-06-19 23:59:59+00:00;11.85;;;;0.45;;;1.56;;
122850;treatment;before visit;2020-06-20 23:59:59+00:00;6.39;;;;0.43;;;1.4;;
122850;treatment;before visit;2020-06-21 23:59:59+00:00;14.33;;;;0.34;;;1.83;;
122850;treatment;before visit;2020-06-22 23:59:59+00:00;8.27;;;;0.48;;;1.42;;
122850;treatment;before visit;2020-06-23 23:59:59+00:00;8.11;;;;0.6;;;1.27;;
122850;treatment;before visit;2020-06-24 23:59:59+00:00;10.12;;;;0.6;;;1.39;;
122850;treatment;before visit;2020-06-25 23:59:59+00:00;11.99;;;;0.59;;;1.4;;
122850;treatment;before visit;2020-06-26 23:59:59+00:00;11.03;;;;0.58;;;1.5;;
122850;treatment;before visit;2020-06-27 23:59:59+00:00;9.92;;;;0.55;;;1.46;;
122850;treatment;before visit;2020-06-28 23:59:59+00:00;11.34;;;;0.57;;;1.47;;
122850;treatment;before visit;2020-06-29 23:59:59+00:00;9.32;;;;0.54;;;1.39;;
122850;treatment;before visit;2020-06-30 23:59:59+00:00;9.31;;;;0.63;;;1.28;;
122850;treatment;before visit;2020-07-01 23:59:59+00:00;8.18;;;;0.55;;;1.41;;
122850;treatment;before visit;2020-07-02 23:59:59+00:00;8.75;;;;0.53;;;1.51;;
122850;treatment;before visit;2020-07-03 23:59:59+00:00;9.89;;;;0.48;;;1.52;;
122850;treatment;before visit;2020-07-04 23:59:59+00:00;7.13;;;;0.41;;;1.52;;
122850;treatment;before visit;2020-07-05 23:59:59+00:00;6.84;;;;0.42;;;1.51;;
122850;treatment;before visit;2020-07-06 23:59:59+00:00;8.35;;;;0.5;;;1.45;;
122850;treatment;before visit;2020-07-07 23:59:59+00:00;7.16;;;;0.54;;;1.39;;
122850;treatment;before visit;2020-07-08 23:59:59+00:00;7.8;;;;0.61;;;1.32;;
122850;treatment;before visit;2020-07-09 23:59:59+00:00;8.06;;;;0.58;;;1.45;;
122850;treatment;before visit;2020-07-10 23:59:59+00:00;9.89;;;;0.46;;;1.68;;
122850;treatment;before visit;2020-07-14 23:59:59+00:00;8.02;;;;0.66;;;1.27;;
122850;treatment;before visit;2020-07-15 23:59:59+00:00;9.15;;;;0.61;;;1.27;;
122850;treatment;before visit;2020-07-16 23:59:59+00:00;10.77;;;;0.6;;;1.26;;
122850;treatment;before visit;2020-07-17 23:59:59+00:00;9.09;;;;0.57;;;1.3;;
122850;treatment;before visit;2020-07-18 23:59:59+00:00;7.33;;;;0.46;;;1.43;;
122850;treatment;before visit;2020-07-19 23:59:59+00:00;6.73;;;;0.49;;;1.42;;
122850;treatment;before visit;2020-07-20 23:59:59+00:00;6.67;;;;0.45;;;1.47;;
122850;treatment;before visit;2020-07-21 23:59:59+00:00;6.56;;;;0.45;;;1.47;;
122850;treatment;before visit;2020-07-22 23:59:59+00:00;6.72;;;;0.43;;;1.46;;
122850;treatment;before visit;2020-07-23 23:59:59+00:00;6.77;;;;0.46;;;1.51;;
122850;treatment;before visit;2020-07-24 23:59:59+00:00;6.74;;;;0.45;;;1.5;;
122850;treatment;before visit;2020-07-25 23:59:59+00:00;6.64;;;;0.45;;;1.42;;
122850;treatment;before visit;2020-07-26 23:59:59+00:00;6.46;;;;0.46;;;1.47;;
122850;treatment;before visit;2020-07-27 23:59:59+00:00;6.81;;;;0.46;;;1.49;;
122850;treatment;before visit;2020-07-28 23:59:59+00:00;9.54;;;;0.44;;;1.66;;
122850;treatment;before visit;2020-07-29 23:59:59+00:00;14.9;;;;0.15;;;2.07;;
122850;treatment;before visit;2020-07-30 23:59:59+00:00;7.11;;;;0.4;;;1.58;;
122850;treatment;before visit;2020-07-31 23:59:59+00:00;6.73;;;;0.37;;;1.66;;
122850;treatment;before visit;2020-08-01 23:59:59+00:00;6.74;;;;0.39;;;1.67;;
122850;treatment;before visit;2020-08-02 23:59:59+00:00;6.95;;;;0.37;;;1.71;;
122850;treatment;before visit;2020-08-03 23:59:59+00:00;8.9;;;;0.52;;;1.51;;
122850;treatment;before visit;2020-08-04 23:59:59+00:00;9.51;;;;0.55;;;1.36;;
122850;treatment;before visit;2020-08-05 23:59:59+00:00;10.85;;;;0.6;;;1.7;;
122850;treatment;before visit;2020-08-06 23:59:59+00:00;8.33;;;;0.56;;;1.27;;
122850;treatment;before visit;2020-08-07 23:59:59+00:00;8.68;;;;0.52;;;1.49;;
122850;treatment;before visit;2020-08-08 23:59:59+00:00;10.81;;;;0.53;;;1.44;;
122850;treatment;before visit;2020-08-09 23:59:59+00:00;10.67;;;;0.22;;;3.08;;
122850;treatment;before visit;2020-08-10 23:59:59+00:00;10.76;;;;;;;4.01;;
122850;treatment;before visit;2020-08-11 23:59:59+00:00;10.8;;;;;;;4.2;;
122850;treatment;before visit;2020-08-12 23:59:59+00:00;9.86;;;;;;;4.35;;
122850;treatment;before visit;2020-08-13 23:59:59+00:00;11.65;;;;;;;4.4;;
122850;treatment;before visit;2020-08-14 23:59:59+00:00;9.34;;;;;;;4.05;;
122850;treatment;before visit;2020-08-15 23:59:59+00:00;11.58;;;;;;;4.11;;
122850;treatment;before visit;2020-08-16 23:59:59+00:00;10.04;;;;;;;4.04;;
