Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
1191021;treatment;before visit;2021-12-17 23:59:59+00:00;152.57;;;;;;;83.78;;
1191021;treatment;before visit;2021-12-18 23:59:59+00:00;170.54;;;;;;;88.5;;
1191021;treatment;before visit;2021-12-19 23:59:59+00:00;155.49;;;;;;;90.08;;
1191021;treatment;before visit;2021-12-20 23:59:59+00:00;146.54;;;;0.26;;;85.94;;
1191021;treatment;before visit;2021-12-21 23:59:59+00:00;149.76;;;;0.28;;;86.17;;
1191021;treatment;before visit;2021-12-22 23:59:59+00:00;153.23;;;;0.24;;;84.63;;
1191021;treatment;before visit;2021-12-23 23:59:59+00:00;147.81;;;;0.21;;;85.46;;
1191021;treatment;before visit;2021-12-24 23:59:59+00:00;132.92;;;;0.28;;;72.27;;
1191021;treatment;before visit;2021-12-25 23:59:59+00:00;107.82;;;;;;;58.98;;
1191021;treatment;before visit;2021-12-26 23:59:59+00:00;87.6;;;;;;;53.13;;
1191021;treatment;before visit;2021-12-27 23:59:59+00:00;88.83;;;;0.26;;;55.66;;
1191021;treatment;before visit;2021-12-28 23:59:59+00:00;88.66;;;;0.26;;;54.45;;
1191021;treatment;before visit;2021-12-29 23:59:59+00:00;84.26;;;;0.26;;;50.77;;
1191021;treatment;before visit;2021-12-30 23:59:59+00:00;89.1;;;;0.29;;;51.98;;
1191021;treatment;before visit;2021-12-31 23:59:59+00:00;86.1;;;;0.28;;;51.15;;
1191021;treatment;before visit;2022-01-01 23:59:59+00:00;111.94;;;;;;;69.36;;
1191021;treatment;before visit;2022-01-02 23:59:59+00:00;119.81;;;;;;;71.16;;
1191021;treatment;before visit;2022-01-03 23:59:59+00:00;98.6;;;;0.34;;;48.6;;
1191021;treatment;before visit;2022-01-04 23:59:59+00:00;103.69;;;;0.33;;;49.46;;
1191021;treatment;before visit;2022-01-05 23:59:59+00:00;147.18;;;;0.23;;;74.47;;
1191021;treatment;before visit;2022-01-06 23:59:59+00:00;149.95;;;;0.36;;;83.74;;
1191021;treatment;before visit;2022-01-07 23:59:59+00:00;141.17;;;;0.32;;;80.34;;
