Household_ID;Group;AffectsTimePoint;Timestamp;kWh_received_Total;kWh_received_HeatPump;kWh_received_Other;kWh_returned_Total;kvarh_received_capacitive_Total;kvarh_received_capacitive_HeatPump;kvarh_received_capacitive_Other;kvarh_received_inductive_Total;kvarh_received_inductive_HeatPump;kvarh_received_inductive_Other
6901131;treatment;before visit;2022-04-06 23:59:59+00:00;37.95;;;;2.85;;;16.72;;
6901131;treatment;before visit;2022-04-07 23:59:59+00:00;40.72;;;;2.66;;;15.73;;
6901131;treatment;before visit;2022-04-08 23:59:59+00:00;37.82;;;;2.82;;;16.52;;
6901131;treatment;before visit;2022-04-09 23:59:59+00:00;51.01;;;;2.11;;;24.78;;
6901131;treatment;before visit;2022-04-10 23:59:59+00:00;47.96;;;;2.26;;;23.95;;
6901131;treatment;before visit;2022-04-11 23:59:59+00:00;40.77;;;;2.25;;;21.41;;
6901131;treatment;before visit;2022-04-12 23:59:59+00:00;39.81;;;;2.18;;;19.07;;
6901131;treatment;before visit;2022-04-13 23:59:59+00:00;38.7;;;;1.48;;;11.74;;
6901131;treatment;before visit;2022-04-14 23:59:59+00:00;20.46;;;;0.71;;;5.88;;
6901131;treatment;before visit;2022-04-15 23:59:59+00:00;12.68;;;;0.7;;;0.29;;
6901131;treatment;before visit;2022-04-16 23:59:59+00:00;17.43;;;;0.48;;;7.37;;
6901131;treatment;before visit;2022-04-17 23:59:59+00:00;31.23;;;;0.35;;;18.2;;
6901131;treatment;before visit;2022-04-18 23:59:59+00:00;25.85;;;;0.55;;;16.09;;
6901131;treatment;before visit;2022-04-19 23:59:59+00:00;35.89;;;;1.48;;;15.22;;
6901131;treatment;before visit;2022-04-20 23:59:59+00:00;31.75;;;;3.34;;;13.13;;
6901131;treatment;before visit;2022-04-21 23:59:59+00:00;40.88;;;;3.16;;;17.81;;
6901131;treatment;before visit;2022-04-22 23:59:59+00:00;36.52;;;;2.96;;;16.44;;
6901131;treatment;before visit;2022-04-23 23:59:59+00:00;38.85;;;;3.18;;;14.84;;
6901131;treatment;before visit;2022-04-24 23:59:59+00:00;47.04;;;;2.62;;;21.24;;
6901131;treatment;before visit;2022-04-25 23:59:59+00:00;36.85;;;;3.18;;;15.77;;
6901131;treatment;before visit;2022-04-26 23:59:59+00:00;41.73;;;;3.15;;;18.86;;
6901131;treatment;before visit;2022-04-27 23:59:59+00:00;39.18;;;;3.17;;;19.58;;
6901131;treatment;before visit;2022-04-28 23:59:59+00:00;34.06;;;;3.1;;;16.47;;
6901131;treatment;before visit;2022-04-29 23:59:59+00:00;33.42;;;;2.95;;;18.22;;
6901131;treatment;before visit;2022-04-30 23:59:59+00:00;35.32;;;;2.76;;;17.69;;
6901131;treatment;before visit;2022-05-01 23:59:59+00:00;42.82;;;;2.86;;;17.01;;
6901131;treatment;before visit;2022-05-02 23:59:59+00:00;36.58;;;;2.99;;;16.69;;
6901131;treatment;before visit;2022-05-03 23:59:59+00:00;38.87;;;;3.16;;;15.52;;
6901131;treatment;before visit;2022-05-04 23:59:59+00:00;37.82;;;;3.07;;;15.83;;
6901131;treatment;before visit;2022-05-05 23:59:59+00:00;32.55;;;;3.51;;;8.71;;
6901131;treatment;before visit;2022-05-06 23:59:59+00:00;30.89;;;;3.33;;;11.16;;
6901131;treatment;before visit;2022-05-07 23:59:59+00:00;28.55;;;;3.59;;;7.5;;
6901131;treatment;before visit;2022-05-08 23:59:59+00:00;36.9;;;;3.48;;;6.97;;
6901131;treatment;before visit;2022-05-09 23:59:59+00:00;27.41;;;;3.99;;;9.36;;
6901131;treatment;before visit;2022-05-10 23:59:59+00:00;25.59;;;;4.88;;;5.14;;
6901131;treatment;before visit;2022-05-11 23:59:59+00:00;19.16;;;;5.38;;;0.02;;
6901131;treatment;before visit;2022-05-12 23:59:59+00:00;15.46;;;;5.55;;;;;
6901131;treatment;before visit;2022-05-13 23:59:59+00:00;16.85;;;;5.49;;;0.06;;
6901131;treatment;before visit;2022-05-14 23:59:59+00:00;11.46;;;;5.45;;;0.02;;
6901131;treatment;before visit;2022-05-15 23:59:59+00:00;14.17;;;;5.66;;;0.01;;
6901131;treatment;before visit;2022-05-16 23:59:59+00:00;13.72;;;;5.64;;;0.01;;
6901131;treatment;before visit;2022-05-17 23:59:59+00:00;19.29;;;;5.99;;;0.01;;
